numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,90
4,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,1,0,75
6,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,1,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,71
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,1,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,55
10,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,1,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,PALMA F.C.,34,0,0,0,55
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,0
3,"GARCIA BISQUERRA, JAVIER",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,35
12,"ENTRENA CALDENTEY, MANUEL",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,0
15,"OKUONGHAE SAYE, SOLOMON A",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,0
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,15
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,1,0,35
22,"BRUNO LUENGO, DANIEL",SANTA CATALINA ATº A,Suplente,Local,PALMA F.C.,34,0,0,0,19
1,"HERNANDEZ PILO, IKER",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
2,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
4,ZAPATA,PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
5,"KEANEY, DANIEL THOMAS",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,1,0,0,90
8,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,90
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,1,0,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,SANTA CATALINA ATº A,34,0,0,0,95
12,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
13,"PASTOR MAS, MARC",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
15,"FERREIRO GOMEZ, ALVARO",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
16,"FOLGADO GARNICA, IXTZUL",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
17,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,0
18,"PANIZA PAEZ, JOSE LUIS",PALMA F.C.,Suplente,Visitante,SANTA CATALINA ATº A,34,0,0,0,-5
