numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,51
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,65
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,90
7,"SINTES MELERO, ALVARO",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,51
8,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,1,0,65
9,"LOPEZ FERNANDEZ, MARC",UD MAHON,Titular,Local,SAN FRANCISCO B,34,2,0,0,90
10,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,65
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,SAN FRANCISCO B,34,0,0,0,90
1,"GASCON SASTRE, IKER",UD MAHON,Suplente,Local,SAN FRANCISCO B,34,0,0,0,39
12,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Suplente,Local,SAN FRANCISCO B,34,0,1,0,25
14,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,SAN FRANCISCO B,34,0,1,0,25
17,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,SAN FRANCISCO B,34,0,0,0,39
18,"ORFILA PONCE, JULEN",UD MAHON,Suplente,Local,SAN FRANCISCO B,34,0,0,0,25
1,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,1,0,46
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
5,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,46
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,46
8,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,46
9,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,15
10,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,UD MAHON,34,0,0,0,90
12,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,0
14,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,44
15,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,44
16,"HADJI, MONCEF TAYEB",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,0
17,"PADILLA BORRAS, PERE",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,44
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,75
19,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,UD MAHON,34,0,0,0,44
