numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CATRON, URIAS",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,1,0,90
5,"BESTARD SERVERA, MARCOS",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,90
9,"SEGORBE GODOY, MARCOS",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,76
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,1,0,0,84
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,90
14,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,61
15,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,84
17,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,61
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,PENYA INDEPENDENT A,3,0,0,0,90
2,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,6
3,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,0
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,6
8,"GIL GOMILA, XAYRON",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,29
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,1,0,29
13,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,0
16,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,PENYA INDEPENDENT A,3,0,0,0,14
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,60
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,70
7,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,60
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,46
12,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,90
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,PALMA F.C.,3,0,0,0,60
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,30
3,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,0
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,20
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,30
16,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,30
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,PALMA F.C.,3,0,0,0,44
