numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,1,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,64
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,1,0,72
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,64
15,"PALLICER AGUILO, XAVIER",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,64
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,72
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,SP. ATº CIUTAT DE PALMA,3,0,1,0,90
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,0
6,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,1,0,26
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,18
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,1,0,0,18
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,26
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,3,0,0,0,26
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,1,0,83
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,83
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,1,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,3,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,70
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,78
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,1,0,90
19,"MARTINEZ GOMEZ, DYLAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,1,0,0,70
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,3,0,0,0,0
