numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,79
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,45
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,67
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,83
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,1,0,90
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,90
11,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,SD LA SALLE A,3,0,0,0,83
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,0
12,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,0
14,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,11
15,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,7
16,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,7
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,23
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,SD LA SALLE A,3,0,0,0,45
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
2,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
3,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
4,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
5,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,81
8,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,72
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,1,2,0,90
10,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,59
11,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,PLA DE NA TESA A,3,0,0,0,90
12,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,0
14,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,0
15,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,31
16,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,18
17,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,PLA DE NA TESA A,3,0,0,0,9
