numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,78
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,69
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,60
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,POBLENSE A,3,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,0
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,21
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,12
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,30
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,POBLENSE A,3,0,0,0,0
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,65
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,1,0,46
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,1,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,70
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,1,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,70
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,90
24,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,PLATGES DE CALVIA A,3,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,0
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,44
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,25
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,20
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Visitante,PLATGES DE CALVIA A,3,0,0,0,20
