numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,90
2,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,1,0,55
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,55
4,JOAN,SAN FRANCISCO B,Titular,Local,FERRERIES A,3,1,0,0,90
5,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,90
6,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,55
8,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,63
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,1,0,0,90
10,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,1,0,0,90
11,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,FERRERIES A,3,0,0,0,63
12,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,27
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,0
14,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,27
15,"HADJI, MONCEF TAYEB",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,35
16,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,1,0,35
17,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,0
18,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,FERRERIES A,3,0,0,0,35
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,80
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,90
5,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,33
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,1,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,73
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,90
17,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,73
21,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Visitante,SAN FRANCISCO B,3,0,0,0,73
13,"CABALLERO MONTES, DAVID",FERRERIES A,Suplente,Visitante,SAN FRANCISCO B,3,0,0,0,10
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Suplente,Visitante,SAN FRANCISCO B,3,0,0,0,17
19,"DE HARO OLIVES, FRANCESC",FERRERIES A,Suplente,Visitante,SAN FRANCISCO B,3,0,0,0,17
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Visitante,SAN FRANCISCO B,3,0,0,0,17
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Visitante,SAN FRANCISCO B,3,0,0,0,57
