numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,70
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,70
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,90
16,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,1,1,0,59
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,59
26,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,PENYA ARRABAL A,3,0,0,0,77
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,0
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,31
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,20
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,20
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,31
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,13
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,PENYA ARRABAL A,3,0,0,0,0
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,1,1,0,46
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,1,0,90
11,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,56
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,65
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,90
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,56
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,SANTA CATALINA ATº A,3,0,0,0,75
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,0
5,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,25
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,15
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,44
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,1,1,0,34
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,SANTA CATALINA ATº A,3,0,0,0,34
