numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,ANDRATX A,3,0,1,0,71
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,ANDRATX A,3,0,1,0,90
7,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
9,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,54
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,ANDRATX A,3,0,0,0,54
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,0
12,"VIERA GONZALEZ, SANTIAGO",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,0
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,0
15,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,19
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,0
18,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,ANDRATX A,3,1,0,0,36
19,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Local,ANDRATX A,3,0,0,0,36
1,"SULADZE, ALEKSANDRE",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
5,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,55
12,"REINECKE CABOT, MARCO",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,61
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,61
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,79
23,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
24,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,U D IBIZA A,3,0,0,0,90
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,1,0,35
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,1,0,11
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,1,0,29
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,0,0,29
19,"RIBOT FUSTER, MARIO",ANDRATX A,Suplente,Visitante,U D IBIZA A,3,0,0,0,11
