numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,76
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,MANACOR A,3,1,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,MANACOR A,3,1,0,0,84
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,MANACOR A,3,1,0,0,84
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,76
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Local,MANACOR A,3,0,1,0,90
20,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,MANACOR A,3,0,0,0,90
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,MANACOR A,3,0,0,0,0
10,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,MANACOR A,3,0,0,0,0
14,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,MANACOR A,3,0,0,0,14
15,"GUTIERREZ SUAREZ, ANGEL",UD MAHON,Suplente,Local,MANACOR A,3,0,1,0,6
16,"CASADO RAMON, KEVIN",UD MAHON,Suplente,Local,MANACOR A,3,0,0,0,6
17,"GRUBAC, NOA",UD MAHON,Suplente,Local,MANACOR A,3,0,0,0,0
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,MANACOR A,3,0,1,0,14
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,65
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,73
6,"MORENO CALDENTEY, JAIME I",MANACOR A,Titular,Visitante,UD MAHON,3,0,1,0,67
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,90
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Visitante,UD MAHON,3,0,1,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,UD MAHON,3,0,1,0,45
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,90
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Titular,Visitante,UD MAHON,3,0,0,0,65
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,45
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,25
17,"ARCOS MUÑOZ, IKER",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,17
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,23
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,25
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,UD MAHON,3,0,0,0,0
