numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,PALMA F.C.,4,1,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,PALMA F.C.,4,0,1,0,53
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,PALMA F.C.,4,0,1,0,69
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,PALMA F.C.,4,1,0,0,90
22,"SINTES PONS, PAU",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Local,PALMA F.C.,4,0,0,0,90
2,"CARRERAS ROBLES, PAU",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,0
5,"PONS CARRERAS, ANGEL",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,1,0,37
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,21
13,"CABALLERO MONTES, DAVID",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,0
17,"CHIMBO JAYA, BRYAN OSWALDO",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,0
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,0
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,PALMA F.C.,4,0,0,0,0
1,"CATRON, URIAS",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,90
5,"BESTARD SERVERA, MARCOS",PALMA F.C.,Titular,Visitante,FERRERIES A,4,1,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,90
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,50
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,50
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,79
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,90
16,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,90
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,0,79
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,FERRERIES A,4,0,0,1,90
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,0
3,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,11
7,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,40
9,"SEGORBE GODOY, MARCOS",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,11
13,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,0
14,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,0
15,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,FERRERIES A,4,0,0,0,40
