numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,90
2,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,83
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,90
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,1,0,45
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,64
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,2,0,0,90
10,"ARAQUE CARRASCOSA, AITOR",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,64
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,PLA DE NA TESA A,4,0,0,0,89
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,0
12,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,0
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,1
15,"VERD ALONSO, ABEL",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,26
16,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,45
17,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,7
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,PLA DE NA TESA A,4,0,0,0,26
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,1,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,72
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,1,0,0,90
7,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,51
8,"FERRER FERNANDEZ, ALEJANDRO",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,64
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,64
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,72
11,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,MALLORCA B,4,0,0,0,90
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,0
12,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,18
14,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,26
15,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,0
16,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,26
17,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,39
18,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,MALLORCA B,4,0,0,0,18
