numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,45
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
6,"MORENO CALDENTEY, JAIME I",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,27
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,70
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Local,U D IBIZA A,4,1,0,0,89
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,U D IBIZA A,4,0,0,0,70
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,20
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,1
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,20
17,"ARCOS MUÑOZ, IKER",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,0
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,45
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,U D IBIZA A,4,0,0,0,63
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,66
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,84
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
7,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,66
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,90
11,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,MANACOR A,4,0,0,0,45
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,0
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,6
14,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,0
15,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,1,0,24
16,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,0
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,45
19,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Visitante,MANACOR A,4,0,0,0,24
