numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,71
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,71
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,90
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Local,SAN FRANCISCO B,4,0,0,0,78
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,0
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,0
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,19
10,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,1,0,12
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,SAN FRANCISCO B,4,0,0,0,19
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
3,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
4,JOAN,SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
5,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
6,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,90
7,"HADJI, MONCEF TAYEB",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,55
8,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,50
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,1,0,68
10,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,55
11,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,PENYA ARRABAL A,4,0,0,0,68
13,"FERRER TERUEL, ALVARO",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,0
12,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,0
14,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,22
15,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,1,0,22
16,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,35
17,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,35
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,PENYA ARRABAL A,4,0,0,0,40
