numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
3,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,43
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,46
7,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,1,0,0,90
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,46
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,46
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
18,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,UD MAHON,4,0,0,0,90
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,0
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,44
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,44
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,1,0,44
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,47
16,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,0
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,UD MAHON,4,0,0,0,0
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,58
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,53
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,1,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,1,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,2,0,0,90
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,1,0,0,90
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,64
10,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,0,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,PENYA INDEPENDENT A,4,1,0,0,64
1,"BACCIGALUPO VEGA, LUCA",UD MAHON,Suplente,Visitante,PENYA INDEPENDENT A,4,0,0,0,0
12,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,PENYA INDEPENDENT A,4,0,0,0,26
14,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Visitante,PENYA INDEPENDENT A,4,0,0,0,37
15,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Visitante,PENYA INDEPENDENT A,4,0,1,0,26
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,PENYA INDEPENDENT A,4,0,0,0,32
