numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,2,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,90
8,"THIAM BORRAS, KARIM",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,46
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,88
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,72
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,90
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,61
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,1,0,72
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,CONSTANCIA A,4,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,18
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,2
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,44
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,1,0,29
19,"VERGER ESTRANY, TOMEU",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,18
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,CONSTANCIA A,4,0,0,0,0
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,1,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,1,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,1,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,1,0,57
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,0,79
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,0,57
14,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,1,0,73
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,1,0,46
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Visitante,POBLENSE A,4,0,0,0,90
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,44
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,33
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,33
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,17
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,11
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,POBLENSE A,4,0,0,0,0
