numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,1,0,45
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,90
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,90
8,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,56
9,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,56
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,1,0,0,78
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,0,0,56
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,SANTA CATALINA ATº A,4,0,2,0,90
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,0,0,0,45
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,0,0,0,0
14,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,0,0,0,34
15,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,1,0,0,34
16,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,0,0,0,34
17,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,SANTA CATALINA ATº A,4,0,1,0,12
25,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,73
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,61
9,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,30
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,61
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Visitante,SD LA SALLE A,4,0,0,0,45
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,0
3,"NAVARRO BEZARES, JAVIER",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,0
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,1,0,0,45
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,60
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,29
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,29
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,SD LA SALLE A,4,0,0,0,17
