numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,83
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,75
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,90
19,"MARTINEZ GOMEZ, DYLAN",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,67
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,1,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,PLATGES DE CALVIA A,4,0,0,0,67
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,0
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,23
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,23
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,0
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,7
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,15
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLATGES DE CALVIA A,4,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,69
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,83
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,83
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,1,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,1,0,0,90
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,55
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,46
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,0
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,44
14,"GOMILA GAMERO, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,1,0,0,35
15,"BLANES DÍAZ, FERNANDO",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,7
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,7
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,4,0,0,0,21
