numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,1,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,70
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,1,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,45
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,62
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,1,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,1,0,0,90
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,70
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,62
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,0
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,0
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,20
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,45
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,20
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,28
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,SP. ATº CIUTAT DE PALMA,5,0,0,0,28
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,1,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,90
10,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,1,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,1,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,1,0,0,71
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,90
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,1,0,90
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,90
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Titular,Visitante,CONSTANCIA A,5,0,0,0,64
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,0
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,26
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,0
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,19
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,0
19,"MARTINEZ GOMEZ, DYLAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,CONSTANCIA A,5,0,0,0,0
