numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,90
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,90
5,"BESTARD SERVERA, MARCOS",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,1,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,1,0,73
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,54
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,46
9,"SEGORBE GODOY, MARCOS",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,46
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,90
12,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,1,1,0,90
15,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,PENYA ARRABAL A,5,0,0,0,73
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,0
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,36
13,"CATRON, URIAS",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,0
14,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,44
16,"BUENO BEDOLLA, BRIAN RYAN",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,17
17,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,17
18,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,PENYA ARRABAL A,5,0,0,0,44
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,1,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,90
5,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,82
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,1,0,0,77
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,77
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,0,0,70
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,0,1,0,77
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,PALMA F.C.,5,1,1,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,13
7,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,13
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,20
12,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,1,0,13
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,0
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,PALMA F.C.,5,0,0,0,8
