numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,2,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,1,1,0,90
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,89
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,90
11,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,60
12,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,83
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,0,0,89
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,MANACOR A,5,0,1,0,90
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,0
15,"PALLICER AGUILO, XAVIER",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,1
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,30
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,7
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,MANACOR A,5,0,0,0,1
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,68
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,1,0,45
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,45
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,90
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,1,0,80
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,45
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,0
8,"MARCOS MONGE, IKER",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,45
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,45
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,45
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,0,0,10
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,1,0,22
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,5,0,1,0,0
