numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,1,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,1,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,72
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,46
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,90
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,63
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,1,0,90
16,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,87
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,90
18,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,FERRERIES A,5,0,0,0,90
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,0
2,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,3
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,0
6,"JUAN GUASCH, JORDI MIQUEL",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,0
7,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,18
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,27
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Suplente,Local,FERRERIES A,5,0,0,0,44
13,"CABALLERO MONTES, DAVID",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,1,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,1,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,73
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,61
16,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,46
17,"CHIMBO JAYA, BRYAN OSWALDO",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,52
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,PENYA INDEPENDENT A,5,0,0,0,90
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Suplente,Visitante,PENYA INDEPENDENT A,5,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,PENYA INDEPENDENT A,5,0,0,0,38
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Visitante,PENYA INDEPENDENT A,5,0,0,0,17
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,PENYA INDEPENDENT A,5,0,0,0,29
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,PENYA INDEPENDENT A,5,0,0,0,44
