numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,1,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,84
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,1,0,90
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,90
10,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,1,0,78
11,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,1,0,90
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Local,POBLENSE A,5,0,0,0,78
12,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,6
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,0
14,"CUNI GELABERT, MARC",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,0
15,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,12
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,0
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,1,0,12
19,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,POBLENSE A,5,0,0,0,0
1,"BOUJJIA, AMIN",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,1,0,78
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,1,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,63
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,63
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,78
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,86
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,1,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,PLA DE NA TESA A,5,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,27
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,4
13,"OLIVER RAMIS, PEP",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,0
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,12
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,0
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,27
25,"TUR ESCALAS, TONI",POBLENSE A,Suplente,Visitante,PLA DE NA TESA A,5,0,0,0,12
