numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,1,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,60
3,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,90
4,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,90
5,JOAN,SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,1,0,90
6,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,1,0,90
7,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,60
8,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,65
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,90
10,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,60
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,SD LA SALLE A,5,0,0,0,60
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,0
12,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,0
14,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,30
15,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,25
16,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,30
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,30
18,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Suplente,Local,SD LA SALLE A,5,0,0,0,30
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
5,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,70
7,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
8,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,89
9,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,90
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,1,0,0,76
11,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,SAN FRANCISCO B,5,0,0,0,76
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,0
12,"MARCH MOLINA, MARCOS",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,1
14,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,20
15,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,14
16,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,14
17,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,SAN FRANCISCO B,5,0,0,0,0
