numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,1,1,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,1,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,86
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,86
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,1,0,65
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,90
16,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,1,0,73
26,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,MALLORCA B,5,0,0,0,65
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,25
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,17
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,1,0,25
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,0
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,0
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,4
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,MALLORCA B,5,0,0,0,4
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,83
4,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,1,0,90
7,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,61
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,1,0,0,90
10,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,87
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,SANTA CATALINA ATº A,5,0,0,0,61
12,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,7
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,0
14,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,0
15,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,0
16,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,3
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,29
18,"ARAQUE CARRASCOSA, AITOR",MALLORCA B,Suplente,Visitante,SANTA CATALINA ATº A,5,0,0,0,29
