numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,63
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,90
4,"AMELLER ENRICH, LLORENÇ",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,55
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,U D IBIZA A,5,1,0,0,90
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,59
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,90
10,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,55
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Local,U D IBIZA A,5,0,0,0,63
12,"GRUBAC, NOA",UD MAHON,Suplente,Local,U D IBIZA A,5,0,0,0,31
13,"GASCON SASTRE, IKER",UD MAHON,Suplente,Local,U D IBIZA A,5,0,0,0,0
14,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,U D IBIZA A,5,0,0,0,35
15,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,U D IBIZA A,5,1,0,0,27
16,"MASCARO MARTINEZ, IKER",UD MAHON,Suplente,Local,U D IBIZA A,5,0,0,0,35
17,"GOMEZ GORDILLO, RAUL",UD MAHON,Suplente,Local,U D IBIZA A,5,0,0,0,0
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,U D IBIZA A,5,3,1,0,27
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,1,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,UD MAHON,5,1,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,UD MAHON,5,1,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,90
7,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,UD MAHON,5,1,0,0,72
8,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,72
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,66
10,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,1,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,25
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Titular,Visitante,UD MAHON,5,0,0,0,90
4,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,0
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,65
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,0
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,0
16,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,18
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,24
19,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Visitante,UD MAHON,5,0,0,0,18
