numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,1,0,72
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,72
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,2,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,59
14,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,59
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,85
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,0,0,90
24,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,CONSTANCIA A,6,0,1,0,90
1,"SULADZE, ALEKSANDRE",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,5
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,31
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,18
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,18
20,"RIBOT FUSTER, MARIO",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,31
22,"GARCIA RAMOS, ADRIAN",ANDRATX A,Suplente,Local,CONSTANCIA A,6,0,0,0,0
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,78
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,1,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,1,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,68
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,78
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,68
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,1,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,ANDRATX A,6,0,0,0,85
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,0
6,"SEGURA QUETGLAS, PERE ANTONI",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,22
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,12
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,22
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,0,0,12
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Visitante,ANDRATX A,6,0,1,0,5
