numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABALLERO MONTES, DAVID",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,UD MAHON,6,0,0,1,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,48
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
12,"TRIAY HIERRO, TEO",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,61
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
16,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,UD MAHON,6,0,0,1,58
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,48
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Local,UD MAHON,6,0,0,0,90
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,0
2,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,42
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,42
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Suplente,Local,UD MAHON,6,1,0,0,32
17,"CHIMBO JAYA, BRYAN OSWALDO",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,0
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,0
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Local,UD MAHON,6,0,0,0,29
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,FERRERIES A,6,0,1,0,83
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,FERRERIES A,6,0,1,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,FERRERIES A,6,1,1,0,83
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,90
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,61
10,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,61
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,FERRERIES A,6,0,0,0,75
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,0,0,0
12,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,0,0,29
14,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,0,0,0
15,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,1,0,15
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,0,0,29
17,"AMELLER ENRICH, LLORENÇ",UD MAHON,Suplente,Visitante,FERRERIES A,6,0,0,0,7
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,FERRERIES A,6,1,0,0,7
