numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,75
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,1,0,90
4,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,90
5,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,90
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,75
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,1,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,1,0,90
10,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,1,0,0,64
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,SAN FRANCISCO B,6,0,0,0,64
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,0
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,15
14,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,0
15,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,26
16,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,15
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,SAN FRANCISCO B,6,0,0,0,26
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,46
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,90
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,90
5,JOAN,SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,1,0,90
6,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,37
7,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,46
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,1,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,90
10,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,57
11,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,MALLORCA B,6,0,0,0,70
12,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,53
14,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,33
15,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,0
16,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,1,1,0,20
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,44
18,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,44
19,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Visitante,MALLORCA B,6,0,0,0,0
