numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,84
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,20
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,90
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,20
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,1,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,79
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,90
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,0,0,79
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,PLATGES DE CALVIA A,6,0,1,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,6
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,70
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,11
13,"GARCIA MESTRE, DAVID",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,0
16,"MESTRE RIBOT, PAU",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,70
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,11
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,PLATGES DE CALVIA A,6,0,0,0,0
25,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,1,0,0,84
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,73
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,67
15,"BLANES DÍAZ, FERNANDO",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,MANACOR A,6,0,0,0,90
1,"DE SOUZA BUSTAMANTE, IZAN LUCAS",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,17
11,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,0
16,"GOMILA GAMERO, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,0
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,6
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,MANACOR A,6,0,0,0,23
