numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,90
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,72
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,1,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,1,0,0,78
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,78
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,64
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,90
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,PENYA INDEPENDENT A,6,0,0,0,64
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,0
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,26
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,26
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,12
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,12
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,18
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Local,PENYA INDEPENDENT A,6,0,0,0,0
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
2,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
6,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,67
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,46
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,76
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,62
18,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
23,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,46
25,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,PENYA ARRABAL A,6,0,0,0,90
3,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,14
7,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,28
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,23
16,"IRUELA KLISHINA, DAVID",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,0
26,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,44
27,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Suplente,Visitante,PENYA ARRABAL A,6,0,0,0,44
