numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,1,0,61
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,71
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,71
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,1,0,0,90
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,0,0,0,61
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,SANTA CATALINA ATº A,6,1,0,0,78
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,29
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,12
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,19
11,"RETTICH SOLER, JOSEP",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,19
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Local,SANTA CATALINA ATº A,6,0,0,0,29
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,66
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,55
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,78
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,90
16,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,55
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Visitante,POBLENSE A,6,0,0,0,78
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,35
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,24
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,0
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,1,35
23,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,12
24,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,12
25,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,POBLENSE A,6,0,0,0,0
