numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,PALMA F.C.,6,1,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,85
7,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,PALMA F.C.,6,1,0,0,89
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,85
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,72
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,PALMA F.C.,6,0,0,0,90
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,0
12,"MARCH MOLINA, MARCOS",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,0
14,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,0
15,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,5
16,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,5
17,"HOMAR GARCIA, ROMAN",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,1
18,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,PALMA F.C.,6,0,0,0,18
1,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,90
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,72
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,90
5,"BESTARD SERVERA, MARCOS",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,1,0,82
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,82
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,1,0,90
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,90
12,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,90
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,46
17,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,62
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,SD LA SALLE A,6,0,0,0,90
13,"CATRON, URIAS",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,0
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,8
8,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,8
9,"SEGORBE GODOY, MARCOS",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,28
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,44
14,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,18
15,"BUENO BEDOLLA, BRIAN RYAN",PALMA F.C.,Suplente,Visitante,SD LA SALLE A,6,0,0,0,0
