numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,70
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,1,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,1,0,46
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,81
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,46
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,90
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Titular,Local,PLA DE NA TESA A,6,0,0,0,70
13,"ESTARELLAS ALVAREZ, RAUL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,0,0,0
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,0,0,20
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,1,0,44
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,1,0,0,44
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,1,0,9
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,PLA DE NA TESA A,6,0,0,0,20
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,1,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,1,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,63
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,83
9,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,83
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,1,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,6,0,1,0,63
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,0
12,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,0
14,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,7
15,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,5
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,27
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,27
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,6,0,0,0,7
