numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,64
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,MANACOR A,7,0,1,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,70
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,MANACOR A,7,0,1,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,70
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,81
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,MANACOR A,7,0,1,0,81
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,MANACOR A,7,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,9
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,20
13,"MARQUEZ MORENO, IZAN",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,0
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,26
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,0
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,9
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Local,MANACOR A,7,0,0,0,20
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,90
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,1,0,75
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,90
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,62
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,62
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,75
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,0,0,90
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,CONSTANCIA A,7,0,1,0,88
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Titular,Visitante,CONSTANCIA A,7,1,1,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,2
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,28
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,15
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,15
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,0
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,28
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,CONSTANCIA A,7,0,0,0,0
