numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,90
2,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,1,1,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,52
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,1,0,52
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,1,0,74
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,52
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,90
18,"MARIN HERNANDEZ, PAU",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,60
22,"SINTES PONS, PAU",FERRERIES A,Titular,Local,PENYA ARRABAL A,7,0,0,0,90
13,"CABALLERO MONTES, DAVID",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,0
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,38
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,1,0,38
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,30
19,"DE HARO OLIVES, FRANCESC",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,16
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,0
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,PENYA ARRABAL A,7,0,0,0,38
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,17
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,1,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,71
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,45
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,0,0,0,45
19,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,FERRERIES A,7,1,0,0,81
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,0,0,0
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,0,0,73
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,0,0,45
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,0,0,45
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,0,0,19
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,FERRERIES A,7,0,1,0,9
