numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,90
2,"BADICU, GEORGE",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,69
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,MALLORCA B,7,0,1,0,87
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,MALLORCA B,7,1,0,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,69
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,MALLORCA B,7,0,1,0,90
11,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,63
15,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,69
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,MALLORCA B,7,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,21
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,21
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,0
13,"SOTERAS CONTRERAS, JACOBO",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,0
14,"BUENO BEDOLLA, BRIAN RYAN",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,3
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,27
17,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Suplente,Local,MALLORCA B,7,0,0,0,21
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,69
4,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Visitante,PALMA F.C.,7,1,0,0,90
5,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,81
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,90
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,PALMA F.C.,7,1,0,0,90
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,90
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,69
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Visitante,PALMA F.C.,7,0,0,0,81
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,21
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,0
14,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,9
15,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,0
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,21
17,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,9
18,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Visitante,PALMA F.C.,7,0,0,0,0
