numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,85
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,1,0,55
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,62
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,90
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,90
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,0,0,45
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,0,1,0,45
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Local,SD LA SALLE A,7,1,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,1,0,5
7,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,0,0,35
9,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,0,0,28
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,0,0,45
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Suplente,Local,SD LA SALLE A,7,0,0,0,45
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,56
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,1,0,90
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,90
7,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,56
8,"PETRARCA, ELIA",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,62
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,1,0,0,90
10,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,1,0,0,70
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,62
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,PENYA INDEPENDENT A,7,0,0,0,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,0
12,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,34
14,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,20
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,28
16,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,28
17,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Suplente,Visitante,PENYA INDEPENDENT A,7,0,0,0,34
