numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,65
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,52
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,1,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,1,0,0,76
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,90
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,52
15,"BLANES DÍAZ, FERNANDO",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,76
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,U D IBIZA A,7,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,0
16,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,14
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,0
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,38
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,14
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,38
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Local,U D IBIZA A,7,0,0,0,25
1,"AVOGADRO, TOMMASO",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,1,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,1,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,1,0,90
7,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,90
8,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,90
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,46
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,88
11,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,1,0,79
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Titular,Visitante,PLATGES DE CALVIA A,7,0,0,0,46
13,"DIAZ PARDO, ADRIAN",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,0,0,0,0
4,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,0,0,0,2
14,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,0,0,0,11
15,"MARTIN LOPEZ, IKER",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,0,0,0,0
16,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,1,0,0,44
18,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,1,1,0,44
19,"MARTINEZ BERNABEU, PEDRO",U D IBIZA A,Suplente,Visitante,PLATGES DE CALVIA A,7,0,0,0,0
