numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,90
2,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,61
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,90
4,JOAN,SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,1,0,90
6,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,2,0,90
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,61
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,1,0,90
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,1,1,0,79
10,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,0,0,61
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Local,POBLENSE A,7,0,1,0,73
12,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,17
14,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,29
15,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,29
16,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,0
17,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,11
18,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,0
19,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Local,POBLENSE A,7,0,0,0,29
1,"BOUJJIA, AMIN",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,1,0,68
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,1,0,68
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,1,1,0,90
14,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,79
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,SAN FRANCISCO B,7,0,0,0,90
13,"OLIVER RAMIS, PEP",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,11
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,0
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,22
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,0
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,0
25,"TUR ESCALAS, TONI",POBLENSE A,Suplente,Visitante,SAN FRANCISCO B,7,0,0,0,22
