numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,20
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,1,0,71
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,1,0,0,90
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,90
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,45
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,60
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,45
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,0
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,70
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,0
15,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,45
18,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,19
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,45
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,SP. ATº CIUTAT DE PALMA,7,0,0,0,30
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,2,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,1,0,54
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,4,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,61
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,65
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,3,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,1,0,54
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,65
22,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,90
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SANTA CATALINA ATº A,7,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,0
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,36
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,25
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,29
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,1,0,0,36
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,25
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SANTA CATALINA ATº A,7,0,0,0,0
