numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,2,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,76
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,1,0,0,62
8,"GRUBAC, NOA",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,57
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,90
10,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,57
11,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,45
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,0
12,"GUTIERREZ SUAREZ, ANGEL",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,14
14,"AMELLER ENRICH, LLORENÇ",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,0
15,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,45
16,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,33
17,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,33
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,7,0,0,0,28
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,68
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,83
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,75
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,83
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,68
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,UD MAHON,7,0,0,0,90
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,22
6,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,1,0,15
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,0
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,7
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,7
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,UD MAHON,7,0,0,0,22
