numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,1,0,55
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,62
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,55
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,0,0,55
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,SANTA CATALINA ATº A,8,0,1,0,70
1,"SULADZE, ALEKSANDRE",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,0
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,1,0,35
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,0
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,35
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,20
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,28
20,"RIBOT FUSTER, MARIO",ANDRATX A,Suplente,Local,SANTA CATALINA ATº A,8,0,0,0,35
25,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,1,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,1,0,0,78
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,90
11,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,78
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,83
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,90
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,0,0,63
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,ANDRATX A,8,0,1,0,45
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,0,0,0
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,1,1,0,7
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,1,0,12
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,0,0,27
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,0,0,12
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,0,0,0
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,ANDRATX A,8,0,1,0,45
