numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,67
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,67
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,58
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,1,0,0,71
8,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,3,0,0,90
10,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,0,0,0,58
11,"GARCIA LLOMPART, RAFEL",MALLORCA B,Titular,Local,PENYA INDEPENDENT A,8,2,0,0,90
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,0
12,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,23
14,"VAN DER MEER GARI, YANNICK",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,0
15,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,23
16,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,32
17,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,32
18,"BIBILONI ISERN, SEBASTIA",MALLORCA B,Suplente,Local,PENYA INDEPENDENT A,8,0,0,0,19
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,65
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
5,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,65
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,75
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,46
25,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,46
26,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,MALLORCA B,8,0,0,0,90
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,0
7,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,44
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,0
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,25
16,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,25
23,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,15
27,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Suplente,Visitante,MALLORCA B,8,0,0,0,44
