numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,1,0,90
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PLA DE NA TESA A,8,1,0,0,90
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,60
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,60
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,67
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,60
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Titular,Local,PLA DE NA TESA A,8,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,30
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,23
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,0
16,"MESTRE RIBOT, PAU",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,30
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,30
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,0
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Local,PLA DE NA TESA A,8,0,0,0,0
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,1,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,90
6,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,1,0,70
7,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,1,0,0,76
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,1,0,0,90
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,1,0,0,76
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,76
11,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,MANACOR A,8,0,0,0,90
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,0,0,0
12,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,0,0,0
14,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,0,0,20
15,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,1,0,14
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,0,0,14
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,1,0,14
18,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Suplente,Visitante,MANACOR A,8,0,0,0,0
