numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
4,"MARTORELL MUDOY, JOAN",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,79
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,UD MAHON,8,1,0,0,73
11,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,65
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,UD MAHON,8,1,0,0,73
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,90
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Local,UD MAHON,8,0,0,0,46
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,0
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,0
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,17
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,1,0,0,44
12,"OSUNA REINHARDT, HECTOR",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,11
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,25
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,UD MAHON,8,0,0,0,17
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,90
3,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,46
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,62
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,62
8,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,58
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,90
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,1,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Visitante,PENYA ARRABAL A,8,0,0,0,58
12,"AMELLER ENRICH, LLORENÇ",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,44
14,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,32
15,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,28
16,"GRUBAC, NOA",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,32
17,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,28
25,"BACCIGALUPO VEGA, LUCA",UD MAHON,Suplente,Visitante,PENYA ARRABAL A,8,0,0,0,0
