numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,83
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,90
5,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,1,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,90
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,57
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,90
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,64
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,1,0,0,64
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,1,90
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLATGES DE CALVIA A,8,0,0,0,46
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,7
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,0
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,0
15,"PALLICER AGUILO, XAVIER",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,33
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,26
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,0,0,26
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLATGES DE CALVIA A,8,0,1,0,44
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,26
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,1,0,82
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,62
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,2,1,0,46
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,2,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,82
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,8
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,1,44
17,"FERRAGUT DIAZ, TONI",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,8
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,1,0,28
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,64
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,8,0,0,0,0
