numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,70
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,58
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,92
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,PALMA F.C.,8,1,0,0,92
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,58
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,PALMA F.C.,8,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,0
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,-2
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,-2
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,20
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,32
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Local,PALMA F.C.,8,0,0,0,32
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
2,JOAN,PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,83
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,83
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,65
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,90
16,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,0,0,83
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,POBLENSE A,8,0,1,0,77
3,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,7
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,13
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,7
13,"CATRON, URIAS",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,0
14,"BUENO BEDOLLA, BRIAN RYAN",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,7
15,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,1,0,25
17,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Suplente,Visitante,POBLENSE A,8,0,0,0,0
