numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
4,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,75
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,64
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,1,0,59
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,FERRERIES A,8,0,0,0,90
12,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,0
14,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,26
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,31
16,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,15
17,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Local,FERRERIES A,8,0,0,0,0
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,90
2,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,66
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,52
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,1,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,1,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,52
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,90
21,"CAMPS CARETA, PERE",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,63
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,SD LA SALLE A,8,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Visitante,SD LA SALLE A,8,0,0,0,38
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,SD LA SALLE A,8,0,0,0,27
13,"CABALLERO MONTES, DAVID",FERRERIES A,Suplente,Visitante,SD LA SALLE A,8,0,0,0,0
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Visitante,SD LA SALLE A,8,0,0,0,24
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,SD LA SALLE A,8,0,0,0,38
