numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,84
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,84
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,1,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,79
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,0,0,71
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,1,0,45
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,SAN FRANCISCO B,8,0,1,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,0
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,19
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,11
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,45
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,6
27,"GOMEZ BARBOSA, RICARDO ADRIAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,SAN FRANCISCO B,8,0,0,0,6
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,45
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,1,0,83
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,90
6,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,1,0,83
7,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,37
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,90
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,90
10,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,1,0,0,90
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,60
12,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,7
14,"LLADÓ SASTRE, PAU",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,0
15,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,53
16,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,45
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,0
18,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,1,0,7
19,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,8,0,0,0,30
