numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,1,0,90
2,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,1,0,46
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,CONSTANCIA A,8,1,0,0,90
4,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,0,0,90
7,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,CONSTANCIA A,8,1,1,0,90
8,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,1,0,90
9,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,0,0,34
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,CONSTANCIA A,8,0,1,0,59
11,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,CONSTANCIA A,8,1,0,0,77
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,0
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,13
14,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,1,0,44
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,0
16,"VALLS ANIORTE, TARIKU",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,56
18,"MARTIN LOPEZ, IKER",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,0
19,"MARTINEZ BERNABEU, PEDRO",U D IBIZA A,Suplente,Local,CONSTANCIA A,8,0,0,0,31
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,72
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,56
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,1,0,56
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,1,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,56
17,"SABATER SANCHO, MARC",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,0,0,0,46
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,U D IBIZA A,8,1,0,0,90
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,0
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,18
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,0
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,34
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,34
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,1,0,44
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Visitante,U D IBIZA A,8,0,0,0,34
