numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,1,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,65
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,2,0,0,65
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,70
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,70
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,1,0,0,90
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,76
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,0
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,20
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,0
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,25
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,20
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,14
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,9,0,0,0,25
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,67
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,1,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,60
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,45
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,90
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,CONSTANCIA A,9,0,0,0,60
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,23
15,"PALLICER AGUILO, XAVIER",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,30
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,45
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,0
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,CONSTANCIA A,9,0,0,0,30
