numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Titular,Local,MALLORCA B,9,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Local,MALLORCA B,9,1,0,0,79
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,MALLORCA B,9,0,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,MALLORCA B,9,1,1,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,MALLORCA B,9,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,MALLORCA B,9,1,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,MALLORCA B,9,1,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,MALLORCA B,9,0,0,0,51
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,MALLORCA B,9,1,0,0,79
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Local,MALLORCA B,9,0,0,0,69
22,"SINTES PONS, PAU",FERRERIES A,Titular,Local,MALLORCA B,9,0,1,0,69
1,"PONS CAMPRUBI, POL",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,0
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,21
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,11
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,21
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,11
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Local,MALLORCA B,9,0,0,0,39
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,FERRERIES A,9,1,0,0,90
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,1,0,90
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Visitante,FERRERIES A,9,1,0,0,90
5,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,54
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,78
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,67
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,90
10,"COCA ANTELO, ANDREW",MALLORCA B,Titular,Visitante,FERRERIES A,9,1,0,0,54
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,FERRERIES A,9,0,0,0,67
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,0
12,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,36
14,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,23
15,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Visitante,FERRERIES A,9,1,0,0,36
16,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,12
17,"MOLINA DONAIRE, DANIEL",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,23
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Visitante,FERRERIES A,9,0,0,0,0
