numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CATRON, URIAS",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,90
2,JOAN,PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,1,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,82
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,1,0,90
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,69
8,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,60
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,82
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,2,0,0,90
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,90
9,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,8
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,8
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,0
14,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,0
15,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,21
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,0
17,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Suplente,Local,SP. ATº CIUTAT DE PALMA,9,0,0,0,30
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,46
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,56
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,1,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,82
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,56
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,PALMA F.C.,9,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,8
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,0
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,0
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,1,0,44
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,34
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,PALMA F.C.,9,0,0,0,34
