numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,90
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,1,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,1,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,67
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,75
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,81
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,67
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,0,0,75
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,SD LA SALLE A,9,0,1,0,90
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,9
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,23
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,15
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,0
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,0,15
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Suplente,Local,SD LA SALLE A,9,0,0,1,23
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,1,0,79
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,1,0,66
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,46
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,PENYA ARRABAL A,9,0,0,0,73
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,1,0,24
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,0,0,0
14,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,0,0,44
15,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,0,0,11
16,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,0,0,0
17,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Visitante,PENYA ARRABAL A,9,0,0,0,17
