numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,2,0,0,90
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,72
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,1,0,85
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,1,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,60
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,POBLENSE A,9,0,0,0,85
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,0
2,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,5
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,0
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,18
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,1,0,5
16,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,0
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Suplente,Local,POBLENSE A,9,0,0,0,30
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,1,0,90
2,"GIBSON, JASPER",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,45
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,1,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,1,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,1,0,56
8,"THIAM BORRAS, KARIM",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,1,0,45
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,45
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,90
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,72
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,PENYA INDEPENDENT A,9,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,0
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,18
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,45
11,"RETTICH SOLER, JOSEP",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,45
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,0
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,0,0,34
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Visitante,PENYA INDEPENDENT A,9,0,1,0,45
