numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
5,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,1,90
7,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,52
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,1,1,0,78
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,1,0,0,78
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,0,0,0,90
11,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,U D IBIZA A,9,1,0,0,90
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,0
12,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,0
14,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,12
15,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,1,0,0,38
16,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,0
18,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,12
19,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,U D IBIZA A,9,0,0,0,0
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,75
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,75
8,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,1,0,0,52
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,1,0,0,90
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,PLA DE NA TESA A,9,0,0,0,68
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,38
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,0
14,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,15
15,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,0
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,22
19,"MARTINEZ BERNABEU, PEDRO",U D IBIZA A,Suplente,Visitante,PLA DE NA TESA A,9,0,0,0,15
