numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,90
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,90
5,"LLADÓ SASTRE, PAU",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,84
6,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,72
7,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,1,0,0,90
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,1,0,90
9,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,90
10,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,0,0,72
11,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Titular,Local,ANDRATX A,9,0,1,0,59
12,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,18
14,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,0
15,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,1,0,31
16,"CARDONA ALCANTARA, MARC",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,0
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,18
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,0
19,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,ANDRATX A,9,0,0,0,6
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,61
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,67
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,67
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
12,"CASTELLO FERRA, JOAN",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,61
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,90
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Visitante,SAN FRANCISCO B,9,0,0,0,38
1,"SULADZE, ALEKSANDRE",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,1,0,23
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,0,0,29
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,0,0,52
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,0,0,29
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,1,0,0,23
20,"RIBOT FUSTER, MARIO",ANDRATX A,Suplente,Visitante,SAN FRANCISCO B,9,0,0,0,0
