numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,1,0,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,1,0,66
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,78
12,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,1,0,0,85
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,0,0,90
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,1,0,66
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,MANACOR A,9,0,1,0,46
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,0
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,0
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,24
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,12
14,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,24
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,0,0,5
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,MANACOR A,9,0,1,0,44
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,78
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,1,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,1,0,90
9,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,69
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,78
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,65
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,SANTA CATALINA ATº A,9,0,0,0,65
1,"RADO ASENCIO, IKER",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,0
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,25
16,"MESTRE RIBOT, PAU",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,21
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,1,0,12
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,25
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Visitante,SANTA CATALINA ATº A,9,0,0,0,12
