numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BACCIGALUPO VEGA, LUCA",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,1,0,90
3,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,61
4,"DIALLO, FODE",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,82
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,1,0,90
6,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,90
8,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,1,0,0,82
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,1,0,57
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,90
11,"SINTES MELERO, ALVARO",UD MAHON,Titular,Local,PLATGES DE CALVIA A,9,0,0,0,57
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,0
12,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,29
14,"AMELLER ENRICH, LLORENÇ",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,8
15,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,8
16,"GRUBAC, NOA",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,33
17,"DELICADO NIEWIAROWSKI, NICOLAS JAYDON",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,33
18,"GUTIERREZ SUAREZ, ANGEL",UD MAHON,Suplente,Local,PLATGES DE CALVIA A,9,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,1,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,81
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,2,0,90
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,62
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,UD MAHON,9,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,0
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,28
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,9
15,"BLANES DÍAZ, FERNANDO",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,0
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Suplente,Visitante,UD MAHON,9,0,0,0,0
