cod_temporada,cod_competicion,cod_grupo,jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
20,7077248,7077249,1,"SAN FRANCISCO ""B""",PALMA F.C.,670515.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670515&cod_acta=670515,Si
20,7077248,7077249,1,"SANTA CATALINA ATº ""A""","PENYA INDEPENDENT ""A""",670516.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670516&cod_acta=670516,Si
20,7077248,7077249,1,"PLA DE NA TESA ""A""","FERRERIES ""A""",670517.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670517&cod_acta=670517,Si
20,7077248,7077249,1,"CONSTANCIA ""A""","PENYA ARRABAL ""A""",670518.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670518&cod_acta=670518,Si
20,7077248,7077249,1,"PLATGES DE CALVIA ""A""","SD LA SALLE ""A""",670519.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670519&cod_acta=670519,Si
20,7077248,7077249,1,"PENYA CIUTADELLA ESPORTIVA ""A""","MALLORCA ""B""",670520.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670520&cod_acta=670520,Si
20,7077248,7077249,1,"U D IBIZA ""A""","POBLENSE ""A""",670521.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670521&cod_acta=670521,Si
20,7077248,7077249,1,"MANACOR ""A""",SP. ATº CIUTAT DE PALMA,670522.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670522&cod_acta=670522,Si
20,7077248,7077249,1,UD MAHON,"ANDRATX ""A""",670523.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670523&cod_acta=670523,Si
20,7077248,7077249,2,PALMA F.C.,UD MAHON,670524.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670524&cod_acta=670524,Si
20,7077248,7077249,2,"PENYA INDEPENDENT ""A""","SAN FRANCISCO ""B""",670525.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670525&cod_acta=670525,Si
20,7077248,7077249,2,"FERRERIES ""A""","SANTA CATALINA ATº ""A""",670526.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670526&cod_acta=670526,Si
20,7077248,7077249,2,"PENYA ARRABAL ""A""","PLA DE NA TESA ""A""",670527.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670527&cod_acta=670527,Si
20,7077248,7077249,2,"SD LA SALLE ""A""","CONSTANCIA ""A""",670528.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670528&cod_acta=670528,Si
20,7077248,7077249,2,"MALLORCA ""B""","PLATGES DE CALVIA ""A""",670529.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670529&cod_acta=670529,Si
20,7077248,7077249,2,"POBLENSE ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670530.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670530&cod_acta=670530,Si
20,7077248,7077249,2,SP. ATº CIUTAT DE PALMA,"U D IBIZA ""A""",670531.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670531&cod_acta=670531,Si
20,7077248,7077249,2,"MANACOR ""A""","ANDRATX ""A""",670685.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670685&cod_acta=670685,Si
20,7077248,7077249,3,PALMA F.C.,"PENYA INDEPENDENT ""A""",670533.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670533&cod_acta=670533,Si
20,7077248,7077249,3,"SAN FRANCISCO ""B""","FERRERIES ""A""",670534.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670534&cod_acta=670534,Si
20,7077248,7077249,3,"SANTA CATALINA ATº ""A""","PENYA ARRABAL ""A""",670535.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670535&cod_acta=670535,Si
20,7077248,7077249,3,"PLA DE NA TESA ""A""","SD LA SALLE ""A""",670536.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670536&cod_acta=670536,Si
20,7077248,7077249,3,"CONSTANCIA ""A""","MALLORCA ""B""",670537.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670537&cod_acta=670537,Si
20,7077248,7077249,3,"PLATGES DE CALVIA ""A""","POBLENSE ""A""",670538.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670538&cod_acta=670538,Si
20,7077248,7077249,3,"PENYA CIUTADELLA ESPORTIVA ""A""",SP. ATº CIUTAT DE PALMA,670539.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670539&cod_acta=670539,Si
20,7077248,7077249,3,"U D IBIZA ""A""","ANDRATX ""A""",670540.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670540&cod_acta=670540,Si
20,7077248,7077249,3,UD MAHON,"MANACOR ""A""",670541.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670541&cod_acta=670541,Si
20,7077248,7077249,4,"PENYA INDEPENDENT ""A""",UD MAHON,670542.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670542&cod_acta=670542,Si
20,7077248,7077249,4,"FERRERIES ""A""",PALMA F.C.,670543.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670543&cod_acta=670543,Si
20,7077248,7077249,4,"PENYA ARRABAL ""A""","SAN FRANCISCO ""B""",670544.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670544&cod_acta=670544,Si
20,7077248,7077249,4,"SD LA SALLE ""A""","SANTA CATALINA ATº ""A""",670545.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670545&cod_acta=670545,Si
20,7077248,7077249,4,"MALLORCA ""B""","PLA DE NA TESA ""A""",670546.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670546&cod_acta=670546,Si
20,7077248,7077249,4,"POBLENSE ""A""","CONSTANCIA ""A""",670547.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670547&cod_acta=670547,Si
20,7077248,7077249,4,SP. ATº CIUTAT DE PALMA,"PLATGES DE CALVIA ""A""",670548.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670548&cod_acta=670548,Si
20,7077248,7077249,4,"PENYA CIUTADELLA ESPORTIVA ""A""","ANDRATX ""A""",670702.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670702&cod_acta=670702,Si
20,7077248,7077249,4,"MANACOR ""A""","U D IBIZA ""A""",670550.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670550&cod_acta=670550,Si
20,7077248,7077249,5,"PENYA INDEPENDENT ""A""","FERRERIES ""A""",670551.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670551&cod_acta=670551,Si
