jugador_entra,jugador_sale,Minuto,equipo
"DIALLO CONDE, ABDOURAHAMANE","MARTINEZ BELA, JAVIER",51,MALLORCA B
"FRESNEDA HIDALGO, HUGO","ALEMANY TOUS, MARC",60,MALLORCA B
"LAZARO TORRES, MARIO","BIARNES MORENO, ALEJANDRO",60,MALLORCA B
"GARCIA LLOMPART, RAFEL","HORRACH LLABRES, GERARDO",70,MALLORCA B
"COCA ANTELO, ANDREW","WHYTE ODUNZE, MICHAEL IKENNA",70,MALLORCA B
"CRESPI BARRERA, LEONARDO","PONS SERRANO, ALEIX",53,PENYA ARRABAL A
"VAZQUEZ SUAREZ, HUGO","MESQUIDA URIBE, XAVIER",53,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","FIOL ACEITUNO, MIQUEL",57,PENYA ARRABAL A
"ROTTLANDER, LENNOX MARKUS","ARIAS BESTARD, ENZO",57,PENYA ARRABAL A
"MAS MAIMO, JOSEP","RIUTORT GONZALEZ, JUAN FRANCISCO",66,PENYA ARRABAL A
