jugador_entra,jugador_sale,Minuto,equipo
"PANEQUE PÉREZ, JOEL","SANCHEZ LAFUENTE, ARITZ",25,SD LA SALLE A
"FUSTER CORTES, FERNANDO","PUYA TUR, OSCAR",42,SD LA SALLE A
"RODRIGUEZ MONGELOS, GAEL PAU","SALMERON SEGURA, JONATHAN",55,SD LA SALLE A
"FERNANDEZ CABRERA, DAVID","ESCUERO PARDOS, MARTI",55,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","AMAYA MALENO, FRANCISCO",55,SD LA SALLE A
"BOLIVAR PERAL, ROGER","DIALLO, FODE",54,UD MAHON
"SINTES MELERO, ALVARO","MASCARO MARTINEZ, IKER",54,UD MAHON
"DE LA PUENTE JAÑEZ, NICOLAS","LASSO VIAFARA, ANDRES FELIPE",58,UD MAHON
"LOPEZ FERNANDEZ, MARC","GOMEZ GORDILLO, RAUL",72,UD MAHON
"GRUBAC, NOA","TEJEDOR MORENO, ALEJANDRO",72,UD MAHON
