jugador_entra,jugador_sale,Minuto,equipo
"CACERES AMOROS, MATEO","KRAUSSE, IGNACIO TOMAS",60,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","GAETE MARTINEZ, ISMAEL",60,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",82,SP. ATº CIUTAT DE PALMA
"MUNAR LAZARO, DANIEL","SANCHO OLIVER, PEDRO",82,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","CORTES MONTANER, LUIS",82,SP. ATº CIUTAT DE PALMA
"BERNHARDT, JOEL PIOTR","OROZCO RIERA, ASIER",46,PENYA INDEPENDENT A
"MARTINEZ GARCIA, ENRIQUE","LOPEZ MARI, PABLO",46,PENYA INDEPENDENT A
"PRATS RIPOLL, MIQUEL","FAQUINETTI VERGILIO, SAMUEL",46,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","EL HABBOULA EL KORTOBI, ABDELMOIZE",60,PENYA INDEPENDENT A
"IRUELA KLISHINA, DAVID","FERRER TORRES, PEDRO",70,PENYA INDEPENDENT A
